 No.     Event UTC PERI       Event SCLK PERI      OP-Event UTC APO       SolLon   SolLat   SC Lon   SC Lat      Alt       Sol Dist
13867  2021 APR 30 19:57:39    2/0673084482.28564  2021 APR 30 21:45:49   357.51    15.33   298.19    -3.22      190.97   245321121.0
13868  2021 APR 30 23:34:01    2/0673097464.21840  2021 MAY 01 01:22:12   304.85    15.35   245.31    -3.09      190.60   245336783.5
13869  2021 MAY 01 03:10:24    2/0673110447.25959  2021 MAY 01 04:58:36   252.19    15.37   192.40    -2.91      191.27   245352418.1
13870  2021 MAY 01 06:46:49    2/0673123432.20964  2021 MAY 01 08:35:00   199.52    15.40   139.48    -2.74      190.98   245368025.6
13871  2021 MAY 01 10:23:11    2/0673136415.04695  2021 MAY 01 12:11:22   146.86    15.42    86.58    -2.59      190.27   245383601.1
13872  2021 MAY 01 13:59:33    2/0673149397.00159  2021 MAY 01 15:47:45    94.20    15.44    33.70    -2.44      190.80   245399146.3
13873  2021 MAY 01 17:35:58    2/0673162381.31161  2021 MAY 01 19:24:10    41.53    15.47   340.78    -2.26      191.67   245414665.0
13874  2021 MAY 01 21:12:23    2/0673175366.11868  2021 MAY 01 23:00:33   348.87    15.49   287.86    -2.10      191.45   245430154.7
13875  2021 MAY 02 00:48:44    2/0673188347.38770  2021 MAY 02 02:36:56   296.21    15.51   234.98    -1.96      191.21   245445610.9
13876  2021 MAY 02 04:25:08    2/0673201331.62083  2021 MAY 02 06:13:20   243.54    15.53   182.06    -1.79      191.85   245461041.2
13877  2021 MAY 02 08:01:34    2/0673214317.06283  2021 MAY 02 09:49:45   190.87    15.56   129.14    -1.63      191.35   245476442.9
13878  2021 MAY 02 11:37:56    2/0673227299.36577  2021 MAY 02 13:26:07   138.22    15.58    76.26    -1.48      190.75   245491812.0
13879  2021 MAY 02 15:14:18    2/0673240281.52752  2021 MAY 02 17:02:31    85.56    15.60    23.36    -1.32      191.49   245507151.3
13880  2021 MAY 02 18:50:43    2/0673253266.35501  2021 MAY 02 20:38:55    32.89    15.63   330.44    -1.14      192.26   245522463.9
13881  2021 MAY 02 22:27:07    2/0673266250.55804  2021 MAY 03 00:15:18   340.22    15.65   277.53    -0.99      191.84   245537746.6
13882  2021 MAY 03 02:03:28    2/0673279231.55443  2021 MAY 03 03:51:41   287.57    15.67   224.65    -0.83      191.91   245552995.7
13883  2021 MAY 03 05:39:54    2/0673292217.18972  2021 MAY 03 07:28:06   234.90    15.69   171.72    -0.65      192.33   245568220.5
13884  2021 MAY 03 09:16:19    2/0673305202.56975  2021 MAY 03 11:04:31   182.23    15.72   118.81    -0.49      191.69   245583415.9
13885  2021 MAY 03 12:52:42    2/0673318185.57600  2021 MAY 03 14:40:54   129.57    15.74    65.92    -0.35      191.26   245598578.6
13886  2021 MAY 03 16:29:06    2/0673331169.37347  2021 MAY 03 18:17:19    76.90    15.76    13.02    -0.18      192.17   245613712.4
13887  2021 MAY 03 20:05:32    2/0673344155.41509  2021 MAY 03 21:53:44    24.23    15.78   320.09     0.00      192.77   245628819.4
13888  2021 MAY 03 23:41:57    2/0673357140.02796  2021 MAY 04 01:30:08   331.56    15.81   267.18     0.14      192.21   245643894.8
13889  2021 MAY 04 03:18:18    2/0673370121.30318  2021 MAY 04 05:06:31   278.91    15.83   214.29     0.32      192.62   245658937.0
13890  2021 MAY 04 06:54:44    2/0673383107.04262  2021 MAY 04 08:42:56   226.23    15.85   161.36     0.50      192.81   245673954.3
13891  2021 MAY 04 10:31:08    2/0673396091.52291  2021 MAY 04 12:19:20   173.57    15.87   108.45     0.66      192.09   245688940.9
13892  2021 MAY 04 14:07:31    2/0673409074.08968  2021 MAY 04 15:55:43   120.91    15.90    55.57     0.81      191.92   245703895.0
13893  2021 MAY 04 17:43:55    2/0673422058.03683  2021 MAY 04 19:32:08    68.24    15.92     2.66     0.98      192.91   245718821.1
13894  2021 MAY 04 21:20:20    2/0673435043.56118  2021 MAY 04 23:08:32    15.57    15.94   309.73     1.15      193.26   245733719.6
13895  2021 MAY 05 00:56:44    2/0673448027.19206  2021 MAY 05 02:44:56   322.91    15.96   256.84     1.28      192.62   245748585.6
13896  2021 MAY 05 04:33:06    2/0673461009.30111  2021 MAY 05 06:21:19   270.25    15.99   203.94     1.45      193.22   245763420.4
13897  2021 MAY 05 08:09:31    2/0673473994.47264  2021 MAY 05 09:57:43   217.58    16.01   151.01     1.62      193.16   245778228.8
13898  2021 MAY 05 11:45:55    2/0673486978.21104  2021 MAY 05 13:34:06   164.92    16.03    98.11     1.78      192.44   245793005.5
13899  2021 MAY 05 15:22:17    2/0673499960.06232  2021 MAY 05 17:10:29   112.26    16.05    45.23     1.93      192.59   245807750.3
13900  2021 MAY 05 18:58:41    2/0673512944.05067  2021 MAY 05 20:46:54    59.60    16.08   352.32     2.10      193.58   245822467.7
13901  2021 MAY 05 22:35:06    2/0673525929.17269  2021 MAY 06 00:23:17     6.93    16.10   299.39     2.27      193.65   245837156.6
13902  2021 MAY 06 02:11:28    2/0673538910.64895  2021 MAY 06 03:59:40   314.27    16.12   246.51     2.42      193.22   245851811.6
13903  2021 MAY 06 05:47:51    2/0673551894.08202  2021 MAY 06 07:36:03   261.61    16.14   193.61     2.57      193.89   245866438.3
13904  2021 MAY 06 09:24:16    2/0673564879.11280  2021 MAY 06 11:12:28   208.94    16.16   140.68     2.75      193.67   245881037.2
13905  2021 MAY 06 13:00:39    2/0673577862.19425  2021 MAY 06 14:48:51   156.28    16.19    87.79     2.90      192.96   245895604.0
13906  2021 MAY 06 16:37:01    2/0673590844.12615  2021 MAY 06 18:25:14   103.62    16.21    34.90     3.05      193.40   245910139.4
13907  2021 MAY 06 20:13:25    2/0673603828.42906  2021 MAY 06 22:01:38    50.95    16.23   341.98     3.23      194.34   245924647.7
13908  2021 MAY 06 23:49:50    2/0673616813.33762  2021 MAY 07 01:38:01   358.29    16.25   289.06     3.39      194.17   245939126.4
13909  2021 MAY 07 03:26:12    2/0673629795.01247  2021 MAY 07 05:14:25   305.63    16.28   236.18     3.55      193.94   245953571.4
13910  2021 MAY 07 07:02:36    2/0673642779.22743  2021 MAY 07 08:50:49   252.96    16.30   183.27     3.70      194.64   245967989.5
13911  2021 MAY 07 10:39:01    2/0673655764.31844  2021 MAY 07 12:27:13   200.29    16.32   130.35     3.86      194.21   245982378.3
13912  2021 MAY 07 14:15:24    2/0673668746.64198  2021 MAY 07 16:03:36   147.64    16.34    77.46     4.01      193.59   245996734.2
13913  2021 MAY 07 17:51:46    2/0673681729.03028  2021 MAY 07 19:39:59    94.98    16.36    24.56     4.17      194.27   246011059.5
13914  2021 MAY 07 21:28:11    2/0673694713.54109  2021 MAY 07 23:16:23    42.31    16.39   331.64     4.35      195.12   246025357.7
13915  2021 MAY 08 01:04:35    2/0673707698.13880  2021 MAY 08 02:52:46   349.64    16.41   278.73     4.51      194.73   246039625.4
13916  2021 MAY 08 04:40:56    2/0673720679.25176  2021 MAY 08 06:29:10   296.99    16.43   225.86     4.65      194.67   246053859.3
13917  2021 MAY 08 08:17:22    2/0673733664.50411  2021 MAY 08 10:05:35   244.32    16.45   172.92     4.82      195.13   246068067.8
13918  2021 MAY 08 11:53:47    2/0673746650.27598  2021 MAY 08 13:42:00   191.65    16.47   120.01     4.98      194.56   246082246.3
13919  2021 MAY 08 15:30:10    2/0673759633.29866  2021 MAY 08 17:18:23   138.99    16.50    67.12     5.13      194.07   246096391.8
13920  2021 MAY 08 19:06:34    2/0673772616.59087  2021 MAY 08 20:54:48    86.32    16.52    14.22     5.29      194.95   246110507.5
13921  2021 MAY 08 22:43:00    2/0673785602.55220  2021 MAY 09 00:31:13    33.65    16.54   321.29     5.48      195.63   246124595.7
13922  2021 MAY 09 02:19:24    2/0673798587.15894  2021 MAY 09 04:07:36   340.98    16.56   268.38     5.63      195.09   246138652.0
13923  2021 MAY 09 05:55:46    2/0673811568.41419  2021 MAY 09 07:43:59   288.33    16.58   215.49     5.80      195.41   246152674.7
13924  2021 MAY 09 09:32:11    2/0673824554.23136  2021 MAY 09 11:20:25   235.66    16.60   162.56     5.98      195.65   246166671.9
13925  2021 MAY 09 13:08:36    2/0673837539.26820  2021 MAY 09 14:56:49   182.99    16.63   109.65     6.14      194.98   246180638.1
13926  2021 MAY 09 16:44:59    2/0673850522.00177  2021 MAY 09 18:33:12   130.33    16.65    56.76     6.29      194.72   246194571.3
13927  2021 MAY 09 20:21:23    2/0673863505.64742  2021 MAY 09 22:09:37    77.66    16.67     3.85     6.46      195.72   246208475.7
13928  2021 MAY 09 23:57:49    2/0673876491.50791  2021 MAY 10 01:46:01    24.99    16.69   310.92     6.64      196.16   246222351.6
13929  2021 MAY 10 03:34:13    2/0673889475.35042  2021 MAY 10 05:22:25   332.33    16.71   258.03     6.77      195.53   246236195.1
13930  2021 MAY 10 07:10:35    2/0673902457.35034  2021 MAY 10 08:58:48   279.67    16.73   205.14     6.94      196.08   246250006.3
13931  2021 MAY 10 10:47:00    2/0673915442.53218  2021 MAY 10 12:35:13   227.00    16.76   152.20     7.11      196.08   246263790.6
13932  2021 MAY 10 14:23:24    2/0673928426.35646  2021 MAY 10 16:11:36   174.34    16.78    99.30     7.27      195.39   246277542.9
13933  2021 MAY 10 17:59:45    2/0673941408.18181  2021 MAY 10 19:47:58   121.68    16.80    46.42     7.42      195.43   246291262.6
13934  2021 MAY 10 21:36:09    2/0673954392.07661  2021 MAY 10 23:24:23    69.02    16.82   353.51     7.59      196.47   246304954.2
13935  2021 MAY 11 01:12:34    2/0673967377.22044  2021 MAY 11 03:00:46    16.35    16.84   300.58     7.76      196.62   246318616.7
13936  2021 MAY 11 04:48:57    2/0673980359.25675  2021 MAY 11 06:37:10   323.69    16.86   247.70     7.91      196.13   246332245.5
13937  2021 MAY 11 08:25:19    2/0673993342.21391  2021 MAY 11 10:13:33   271.03    16.88   194.79     8.06      196.81   246345844.7
13938  2021 MAY 11 12:01:45    2/0674006327.25284  2021 MAY 11 13:49:57   218.36    16.91   141.86     8.23      196.64   246359415.7
13939  2021 MAY 11 15:38:08    2/0674019310.43561  2021 MAY 11 17:26:20   165.70    16.93    88.97     8.39      195.96   246372954.3
13940  2021 MAY 11 19:14:30    2/0674032292.24057  2021 MAY 11 21:02:43   113.04    16.95    36.08     8.54      196.30   246386460.7
13941  2021 MAY 11 22:50:54    2/0674045276.41799  2021 MAY 12 00:39:07    60.38    16.97   343.17     8.72      197.30   246399939.3
13942  2021 MAY 12 02:27:19    2/0674058261.32945  2021 MAY 12 04:15:31     7.71    16.99   290.25     8.88      197.18   246413387.9
13943  2021 MAY 12 06:03:40    2/0674071242.58343  2021 MAY 12 07:51:54   315.06    17.01   237.36     9.05      196.93   246426802.4
13944  2021 MAY 12 09:40:04    2/0674084226.60719  2021 MAY 12 11:28:18   262.39    17.03   184.45     9.19      197.65   246440189.0
13945  2021 MAY 12 13:16:29    2/0674097211.58200  2021 MAY 12 15:04:42   209.72    17.06   131.53     9.35      197.30   246453546.0
13946  2021 MAY 12 16:52:52    2/0674110194.21151  2021 MAY 12 18:41:04   157.06    17.08    78.64     9.51      196.65   246466869.7
13947  2021 MAY 12 20:29:13    2/0674123175.64855  2021 MAY 12 22:17:27   104.41    17.10    25.74     9.67      197.26   246480162.1
13948  2021 MAY 13 00:05:38    2/0674136160.36365  2021 MAY 13 01:53:51    51.74    17.12   332.82     9.85      198.18   246493426.8
13949  2021 MAY 13 03:42:02    2/0674149144.59374  2021 MAY 13 05:30:14   359.07    17.14   279.91    10.01      197.82   246506660.6
13950  2021 MAY 13 07:18:23    2/0674162126.07758  2021 MAY 13 09:06:38   306.42    17.16   227.04    10.14      197.67   246519860.6
13951  2021 MAY 13 10:54:48    2/0674175111.02227  2021 MAY 13 12:43:02   253.75    17.18   174.11    10.30      198.19   246533033.6
13952  2021 MAY 13 14:31:14    2/0674188096.20787  2021 MAY 13 16:19:27   201.08    17.20   121.19    10.46      197.69   246546176.3
13953  2021 MAY 13 18:07:36    2/0674201078.61586  2021 MAY 13 19:55:49   148.42    17.22    68.31    10.61      197.16   246559285.6
13954  2021 MAY 13 21:43:59    2/0674214061.47065  2021 MAY 13 23:32:13    95.76    17.25    15.40    10.77      197.99   246572364.3
13955  2021 MAY 14 01:20:25    2/0674227047.08172  2021 MAY 14 03:08:38    43.09    17.27   322.47    10.95      198.75   246585415.0
13956  2021 MAY 14 04:56:49    2/0674240031.10915  2021 MAY 14 06:45:01   350.43    17.29   269.57    11.12      198.23   246598433.4
13957  2021 MAY 14 08:33:10    2/0674253012.11742  2021 MAY 14 10:21:24   297.78    17.31   216.68    11.29      198.45   246611418.1
13958  2021 MAY 14 12:09:35    2/0674265997.42409  2021 MAY 14 13:57:49   245.11    17.33   163.74    11.46      198.73   246624376.5
13959  2021 MAY 14 15:46:00    2/0674278982.43983  2021 MAY 14 17:34:13   192.44    17.35   110.83    11.62      198.13   246637303.6
13960  2021 MAY 14 19:22:23    2/0674291965.13023  2021 MAY 14 21:10:36   139.78    17.37    57.95    11.77      197.78   246650197.4
13961  2021 MAY 14 22:58:46    2/0674304948.57444  2021 MAY 15 00:47:01    87.11    17.39     5.03    11.94      198.78   246663061.5
13962  2021 MAY 15 02:35:12    2/0674317934.47354  2021 MAY 15 04:23:25    34.44    17.41   312.10    12.12      199.30   246675896.9
13963  2021 MAY 15 06:11:36    2/0674330918.23977  2021 MAY 15 07:59:49   341.78    17.43   259.20    12.27      198.69   246688699.3
13964  2021 MAY 15 09:47:58    2/0674343900.04155  2021 MAY 15 11:36:12   289.12    17.45   206.31    12.43      199.18   246701468.9
13965  2021 MAY 15 13:24:23    2/0674356885.11122  2021 MAY 15 15:12:36   236.46    17.48   153.37    12.60      199.25   246714210.9
13966  2021 MAY 15 17:00:46    2/0674369868.62195  2021 MAY 15 18:48:59   183.79    17.50   100.48    12.76      198.60   246726920.8
13967  2021 MAY 15 20:37:08    2/0674382850.35069  2021 MAY 15 22:25:22   131.14    17.52    47.59    12.91      198.53   246739597.6
13968  2021 MAY 16 00:13:32    2/0674395834.06220  2021 MAY 16 02:01:46    78.47    17.54   354.68    13.08      199.60   246752245.4
13969  2021 MAY 16 03:49:57    2/0674408819.13617  2021 MAY 16 05:38:09    25.80    17.56   301.75    13.26      199.83   246764863.7
13970  2021 MAY 16 07:26:19    2/0674421801.15538  2021 MAY 16 09:14:33   333.15    17.58   248.86    13.41      199.27   246777448.1
13971  2021 MAY 16 11:02:41    2/0674434783.55076  2021 MAY 16 12:50:55   280.49    17.60   195.96    13.55      199.94   246790002.1
13972  2021 MAY 16 14:39:06    2/0674447768.53139  2021 MAY 16 16:27:20   227.82    17.62   143.03    13.72      199.84   246802527.4
13973  2021 MAY 16 18:15:30    2/0674460752.04369  2021 MAY 16 20:03:43   175.16    17.64    90.14    13.88      199.19   246815020.0
13974  2021 MAY 16 21:51:51    2/0674473733.35583  2021 MAY 16 23:40:05   122.51    17.66    37.25    14.03      199.42   246827480.0
13975  2021 MAY 17 01:28:15    2/0674486717.33913  2021 MAY 17 03:16:29    69.84    17.68   344.33    14.21      200.48   246839911.2
13976  2021 MAY 17 05:04:40    2/0674499702.18671  2021 MAY 17 06:52:52    17.17    17.70   291.41    14.38      200.42   246852312.2
13977  2021 MAY 17 08:41:01    2/0674512683.33293  2021 MAY 17 10:29:16   324.52    17.72   238.52    14.55      200.09   246864678.8
13978  2021 MAY 17 12:17:25    2/0674525667.11967  2021 MAY 17 14:05:39   271.86    17.74   185.61    14.68      200.82   246877016.7
13979  2021 MAY 17 15:53:50    2/0674538651.63132  2021 MAY 17 17:42:03   219.19    17.76   132.68    14.85      200.54   246889324.5
13980  2021 MAY 17 19:30:12    2/0674551634.25701  2021 MAY 17 21:18:25   166.53    17.78    79.80    15.01      199.89   246901598.9
13981  2021 MAY 17 23:06:34    2/0674564615.64977  2021 MAY 18 00:54:48   113.88    17.80    26.90    15.17      200.41   246913841.5
13982  2021 MAY 18 02:42:58    2/0674577600.26814  2021 MAY 18 04:31:12    61.21    17.82   333.98    15.34      201.39   246926055.7
13983  2021 MAY 18 06:19:23    2/0674590584.50655  2021 MAY 18 08:07:35     8.54    17.85   281.06    15.51      201.08   246938238.6
13984  2021 MAY 18 09:55:44    2/0674603565.55586  2021 MAY 18 11:43:58   315.89    17.87   228.19    15.65      200.88   246950387.3
13985  2021 MAY 18 13:32:08    2/0674616550.18591  2021 MAY 18 15:20:22   263.23    17.89   175.26    15.79      201.48   246962508.0
13986  2021 MAY 18 17:08:33    2/0674629535.05248  2021 MAY 18 18:56:46   210.56    17.91   122.34    15.96      201.06   246974597.9
13987  2021 MAY 18 20:44:55    2/0674642517.14270  2021 MAY 18 22:33:08   157.90    17.93    69.46    16.10      200.47   246986654.0
13988  2021 MAY 19 00:21:17    2/0674655499.14482  2021 MAY 19 02:09:32   105.24    17.95    16.55    16.27      201.25   246998678.9
13989  2021 MAY 19 03:57:42    2/0674668483.64616  2021 MAY 19 05:45:56    52.58    17.97   323.63    16.45      202.08   247010675.1
13990  2021 MAY 19 07:34:05    2/0674681467.39329  2021 MAY 19 09:22:18   359.91    17.99   270.72    16.62      201.58   247022639.0
13991  2021 MAY 19 11:10:26    2/0674694448.09706  2021 MAY 19 12:58:41   307.26    18.01   217.83    16.78      201.71   247034568.9
13992  2021 MAY 19 14:46:51    2/0674707433.21623  2021 MAY 19 16:35:06   254.59    18.03   164.89    16.95      202.05   247046471.7
13993  2021 MAY 19 18:23:16    2/0674720418.18367  2021 MAY 19 20:11:30   201.93    18.05   111.98    17.11      201.52   247058343.1
13994  2021 MAY 19 21:59:39    2/0674733400.42533  2021 MAY 19 23:47:53   149.27    18.07    59.09    17.26      201.08   247070180.8
13995  2021 MAY 20 01:36:02    2/0674746383.59881  2021 MAY 20 03:24:17    96.61    18.09     6.18    17.42      202.08   247081988.0
13996  2021 MAY 20 05:12:27    2/0674759369.33162  2021 MAY 20 07:00:41    43.94    18.11   313.25    17.61      202.68   247093766.1
13997  2021 MAY 20 08:48:51    2/0674772352.63521  2021 MAY 20 10:37:04   351.27    18.13   260.34    17.77      202.07   247105510.9
13998  2021 MAY 20 12:25:12    2/0674785334.21653  2021 MAY 20 14:13:27   298.62    18.15   207.45    17.92      202.47   247117222.4
13999  2021 MAY 20 16:01:37    2/0674798319.17330  2021 MAY 20 17:49:51   245.95    18.17   154.51    18.10      202.61   247128905.9
14000  2021 MAY 20 19:38:01    2/0674811303.10653  2021 MAY 20 21:26:14   193.29    18.19   101.61    18.25      202.00   247140557.0
14001  2021 MAY 20 23:14:23    2/0674824284.44139  2021 MAY 21 01:02:37   140.63    18.21    48.73    18.40      201.82   247152174.6
14002  2021 MAY 21 02:50:46    2/0674837268.00089  2021 MAY 21 04:39:01    87.97    18.23   355.81    18.58      202.92   247163762.5
14003  2021 MAY 21 06:27:11    2/0674850253.03410  2021 MAY 21 08:15:24    35.30    18.25   302.88    18.76      203.21   247175320.5
14004  2021 MAY 21 10:03:33    2/0674863235.08155  2021 MAY 21 11:51:47   342.65    18.27   249.99    18.91      202.60   247186844.4
14005  2021 MAY 21 13:39:56    2/0674876217.34258  2021 MAY 21 15:28:10   289.99    18.29   197.09    19.04      203.26   247198337.3
14006  2021 MAY 21 17:16:20    2/0674889202.23388  2021 MAY 21 19:04:34   237.32    18.31   144.15    19.22      203.23   247209800.8
14007  2021 MAY 21 20:52:44    2/0674902185.38295  2021 MAY 21 22:40:57   184.66    18.33    91.26    19.37      202.61   247221231.5
14008  2021 MAY 22 00:29:05    2/0674915166.56671  2021 MAY 22 02:17:19   132.01    18.35    38.37    19.53      202.72   247232629.0
14009  2021 MAY 22 04:05:29    2/0674928150.38943  2021 MAY 22 05:53:44    79.35    18.37   345.44    19.70      203.84   247243997.1
14010  2021 MAY 22 07:41:53    2/0674941135.20352  2021 MAY 22 09:30:06    26.68    18.38   292.52    19.87      203.83   247255334.7
14011  2021 MAY 22 11:18:15    2/0674954116.32746  2021 MAY 22 13:06:29   334.03    18.40   239.63    20.04      203.41   247266637.7
14012  2021 MAY 22 14:54:38    2/0674967099.60342  2021 MAY 22 16:42:53   281.36    18.42   186.72    20.17      204.16   247277911.1
14013  2021 MAY 22 18:31:03    2/0674980084.40621  2021 MAY 22 20:19:17   228.70    18.44   133.79    20.35      203.94   247289154.1
14014  2021 MAY 22 22:07:25    2/0674993067.11913  2021 MAY 22 23:55:39   176.04    18.46    80.90    20.50      203.29   247300363.7
14015  2021 MAY 23 01:43:47    2/0675006048.47062  2021 MAY 23 03:32:02   123.38    18.48    28.00    20.66      203.72   247311540.9
14016  2021 MAY 23 05:20:11    2/0675019033.01991  2021 MAY 23 07:08:26    70.72    18.50   335.07    20.83      204.76   247322688.9
14017  2021 MAY 23 08:56:36    2/0675032017.30456  2021 MAY 23 10:44:49    18.05    18.52   282.15    21.00      204.49   247333805.4
14018  2021 MAY 23 12:32:56    2/0675044998.11894  2021 MAY 23 14:21:12   325.40    18.54   229.27    21.18      204.24   247344887.2
14019  2021 MAY 23 16:09:21    2/0675057982.31131  2021 MAY 23 17:57:35   272.74    18.56   176.34    21.29      204.95   247355940.4
14020  2021 MAY 23 19:45:45    2/0675070967.02510  2021 MAY 23 21:33:59   220.07    18.58   123.42    21.46      204.60   247366962.3
14021  2021 MAY 23 23:22:07    2/0675083948.65163  2021 MAY 24 01:10:21   167.41    18.60    70.54    21.61      203.97   247377950.3
14022  2021 MAY 24 02:58:29    2/0675096930.33272  2021 MAY 24 04:46:44   114.76    18.62    17.63    21.77      204.68   247388906.3
14023  2021 MAY 24 06:34:53    2/0675109914.57814  2021 MAY 24 08:23:07    62.09    18.64   324.70    21.95      205.59   247399833.1
14024  2021 MAY 24 10:11:17    2/0675122898.23748  2021 MAY 24 11:59:30     9.43    18.66   271.79    22.12      205.09   247410727.5
14025  2021 MAY 24 13:47:37    2/0675135878.42098  2021 MAY 24 15:35:53   316.78    18.68   218.91    22.29      205.13   247421587.5
14026  2021 MAY 24 17:24:02    2/0675148863.58334  2021 MAY 24 19:12:17   264.11    18.70   165.96    22.43      205.56   247432420.0
14027  2021 MAY 24 21:00:27    2/0675161848.58172  2021 MAY 24 22:48:41   211.45    18.72   113.05    22.59      205.10   247443220.6
14028  2021 MAY 25 00:36:50    2/0675174831.18500  2021 MAY 25 02:25:04   158.79    18.73    60.16    22.74      204.59   247453987.4
14029  2021 MAY 25 04:13:13    2/0675187814.19696  2021 MAY 25 06:01:28   106.13    18.75     7.24    22.91      205.56   247464722.9
14030  2021 MAY 25 07:49:38    2/0675200799.52056  2021 MAY 25 09:37:53    53.46    18.77   314.31    23.09      206.23   247475428.7
14031  2021 MAY 25 11:26:02    2/0675213783.20048  2021 MAY 25 13:14:16     0.80    18.79   261.40    23.26      205.60   247486101.2
14032  2021 MAY 25 15:02:23    2/0675226764.36723  2021 MAY 25 16:50:38   308.14    18.81   208.51    23.41      205.92   247496740.1
14033  2021 MAY 25 18:38:48    2/0675239749.35300  2021 MAY 25 20:27:03   255.48    18.83   155.56    23.58      206.12   247507350.2
14034  2021 MAY 25 22:15:12    2/0675252733.51100  2021 MAY 26 00:03:26   202.81    18.85   102.65    23.74      205.57   247517928.0
14035  2021 MAY 26 01:51:34    2/0675265715.31863  2021 MAY 26 03:39:49   150.16    18.87    49.76    23.89      205.26   247528471.9
14036  2021 MAY 26 05:27:57    2/0675278698.53362  2021 MAY 26 07:16:13    97.50    18.89   356.84    24.06      206.38   247538985.4
14037  2021 MAY 26 09:04:22    2/0675291684.03149  2021 MAY 26 10:52:36    44.83    18.91   303.91    24.24      206.75   247549468.6
14038  2021 MAY 26 12:40:45    2/0675304666.26340  2021 MAY 26 14:29:00   352.17    18.93   251.01    24.41      206.09   247559917.6
14039  2021 MAY 26 16:17:07    2/0675317648.48769  2021 MAY 26 18:05:22   299.51    18.94   198.11    24.52      206.74   247570334.8
14040  2021 MAY 26 19:53:32    2/0675330633.29363  2021 MAY 26 21:41:47   246.85    18.96   145.17    24.70      206.77   247580722.1
14041  2021 MAY 26 23:29:55    2/0675343616.58179  2021 MAY 27 01:18:09   194.18    18.98    92.27    24.86      206.19   247591076.4
14042  2021 MAY 27 03:06:17    2/0675356598.08021  2021 MAY 27 04:54:31   141.53    19.00    39.38    25.01      206.17   247601397.2
14043  2021 MAY 27 06:42:40    2/0675369581.48262  2021 MAY 27 08:30:56    88.87    19.02   346.45    25.18      207.33   247611688.0
14044  2021 MAY 27 10:19:05    2/0675382566.34386  2021 MAY 27 12:07:19    36.20    19.04   293.52    25.36      207.39   247621947.8
14045  2021 MAY 27 13:55:26    2/0675395547.56310  2021 MAY 27 15:43:42   343.55    19.06   240.63    25.53      206.88   247632173.0
14046  2021 MAY 27 17:31:50    2/0675408531.10167  2021 MAY 27 19:20:05   290.89    19.08   187.72    25.65      207.65   247642367.8
14047  2021 MAY 27 21:08:14    2/0675421515.57071  2021 MAY 27 22:56:29   238.22    19.09   134.77    25.83      207.49   247652531.8
14048  2021 MAY 28 00:44:37    2/0675434498.45767  2021 MAY 28 02:32:51   185.56    19.11    81.88    25.98      206.86   247662662.5
14049  2021 MAY 28 04:20:59    2/0675447480.13648  2021 MAY 28 06:09:14   132.91    19.13    28.98    26.13      207.19   247672760.1
14050  2021 MAY 28 07:57:23    2/0675460464.29585  2021 MAY 28 09:45:38    80.24    19.15   336.05    26.31      208.29   247682827.9
14051  2021 MAY 28 11:33:48    2/0675473448.64787  2021 MAY 28 13:22:01    27.58    19.17   283.12    26.48      208.06   247692864.0
14052  2021 MAY 28 15:10:08    2/0675486429.49294  2021 MAY 28 16:58:24   334.93    19.19   230.23    26.66      207.73   247702865.2
14053  2021 MAY 28 18:46:32    2/0675499413.59050  2021 MAY 28 20:34:48   282.26    19.21   177.30    26.77      208.53   247712837.0
14054  2021 MAY 28 22:22:57    2/0675512398.36065  2021 MAY 29 00:11:12   229.60    19.22   124.37    26.94      208.24   247722777.2
14055  2021 MAY 29 01:59:19    2/0675525380.43245  2021 MAY 29 03:47:33   176.94    19.24    71.49    27.09      207.58   247732683.4
14056  2021 MAY 29 05:35:41    2/0675538362.03587  2021 MAY 29 07:23:56   124.29    19.26    18.58    27.25      208.21   247742557.1
14057  2021 MAY 29 09:12:05    2/0675551346.25491  2021 MAY 29 11:00:20    71.62    19.28   325.64    27.43      209.17   247752401.0
14058  2021 MAY 29 12:48:29    2/0675564330.04728  2021 MAY 29 14:36:42    18.96    19.30   272.72    27.61      208.69   247762212.4
14059  2021 MAY 29 16:24:49    2/0675577310.25212  2021 MAY 29 18:13:06   326.31    19.32   219.83    27.78      208.63   247771989.2
14060  2021 MAY 29 20:01:15    2/0675590295.60325  2021 MAY 29 21:49:30   273.64    19.34   166.89    27.89      209.20   247781737.8
14061  2021 MAY 29 23:37:40    2/0675603281.04130  2021 MAY 30 01:25:55   220.97    19.35   113.97    28.06      208.83   247791454.1
14062  2021 MAY 30 03:14:02    2/0675616263.40924  2021 MAY 30 05:02:17   168.31    19.37    61.08    28.21      208.24   247801136.3
14063  2021 MAY 30 06:50:25    2/0675629246.33018  2021 MAY 30 08:38:41   115.65    19.39     8.15    28.37      209.16   247810786.7
14064  2021 MAY 30 10:26:51    2/0675642231.65280  2021 MAY 30 12:15:06    62.98    19.41   315.21    28.55      209.90   247820406.9
14065  2021 MAY 30 14:03:14    2/0675655215.43395  2021 MAY 30 15:51:29    10.32    19.43   262.30    28.73      209.26   247829993.7
14066  2021 MAY 30 17:39:36    2/0675668196.63927  2021 MAY 30 19:27:52   317.67    19.45   209.41    28.88      209.49   247839546.6
14067  2021 MAY 30 21:16:01    2/0675681182.10635  2021 MAY 30 23:04:16   265.00    19.46   156.44    29.04      209.74   247849070.2
