 No.     Event UTC PERI       Event SCLK PERI      OP-Event UTC APO       SolLon   SolLat   SC Lon   SC Lat      Alt       Sol Dist
13714  2021 APR 07 20:08:14    2/0671097918.62834  2021 APR 07 21:56:22   135.41    11.56   113.58   -27.71      182.40   242590679.0
13715  2021 APR 07 23:44:37    2/0671110902.06148  2021 APR 08 01:32:46    82.75    11.58    60.67   -27.57      182.34   242610593.2
13716  2021 APR 08 03:21:02    2/0671123887.03496  2021 APR 08 05:09:12    30.08    11.61     7.76   -27.40      183.23   242630484.2
13717  2021 APR 08 06:57:28    2/0671136873.34820  2021 APR 08 08:45:37   337.40    11.63   314.81   -27.23      183.38   242650351.3
13718  2021 APR 08 10:33:53    2/0671149858.01904  2021 APR 08 12:22:01   284.73    11.66   261.91   -27.14      182.57   242670189.4
13719  2021 APR 08 14:10:15    2/0671162840.48429  2021 APR 08 15:58:25   232.07    11.69   209.00   -26.93      183.38   242689998.5
13720  2021 APR 08 17:46:41    2/0671175826.55605  2021 APR 08 19:34:50   179.40    11.71   156.06   -26.76      183.31   242709786.7
13721  2021 APR 08 21:23:06    2/0671188811.12623  2021 APR 08 23:11:14   126.73    11.74   103.14   -26.61      182.38   242729545.9
13722  2021 APR 09 00:59:28    2/0671201793.55798  2021 APR 09 02:47:38    74.07    11.76    50.24   -26.47      182.68   242749276.4
13723  2021 APR 09 04:35:53    2/0671214778.46294  2021 APR 09 06:24:03    21.40    11.79   357.32   -26.29      183.48   242768984.0
13724  2021 APR 09 08:12:19    2/0671227764.36116  2021 APR 09 10:00:27   328.73    11.82   304.37   -26.13      183.39   242788666.8
13725  2021 APR 09 11:48:42    2/0671240747.48147  2021 APR 09 13:36:51   276.06    11.84   251.49   -26.03      182.81   242808319.3
13726  2021 APR 09 15:25:06    2/0671253731.04742  2021 APR 09 17:13:15   223.40    11.87   198.57   -25.82      183.65   242827945.7
13727  2021 APR 09 19:01:32    2/0671266716.59646  2021 APR 09 20:49:40   170.73    11.89   145.63   -25.65      183.34   242847549.5
13728  2021 APR 09 22:37:55    2/0671279700.31211  2021 APR 10 00:26:03   118.06    11.92    92.72   -25.51      182.48   242867123.6
13729  2021 APR 10 02:14:18    2/0671292683.14778  2021 APR 10 04:02:28    65.40    11.95    39.82   -25.36      183.07   242886670.0
13730  2021 APR 10 05:50:43    2/0671305668.24234  2021 APR 10 07:38:53    12.73    11.97   346.90   -25.18      183.78   242906193.6
13731  2021 APR 10 09:27:08    2/0671318653.47873  2021 APR 10 11:15:16   320.06    12.00   293.96   -25.03      183.54   242925691.1
13732  2021 APR 10 13:03:31    2/0671331636.23913  2021 APR 10 14:51:41   267.40    12.02   241.08   -24.92      183.14   242945158.1
13733  2021 APR 10 16:39:56    2/0671344621.06020  2021 APR 10 18:28:06   214.73    12.05   188.15   -24.72      183.89   242964601.7
13734  2021 APR 10 20:16:22    2/0671357607.06171  2021 APR 10 22:04:31   162.06    12.08   135.22   -24.56      183.32   242984020.6
13735  2021 APR 10 23:52:45    2/0671370590.26443  2021 APR 11 01:40:54   109.39    12.10    82.31   -24.42      182.65   243003409.1
13736  2021 APR 11 03:29:09    2/0671383573.46386  2021 APR 11 05:17:19    56.73    12.13    29.41   -24.26      183.42   243022770.9
13737  2021 APR 11 07:05:34    2/0671396559.28564  2021 APR 11 08:53:44     4.06    12.15   336.48   -24.07      184.05   243042109.8
13738  2021 APR 11 10:42:00    2/0671409544.53095  2021 APR 11 12:30:08   311.39    12.18   283.55   -23.95      183.57   243061421.6
13739  2021 APR 11 14:18:22    2/0671422526.46202  2021 APR 11 16:06:32   258.73    12.20   230.67   -23.79      183.60   243080701.5
13740  2021 APR 11 17:54:47    2/0671435512.39616  2021 APR 11 19:42:58   206.06    12.23   177.73   -23.60      184.15   243099960.8
13741  2021 APR 11 21:31:14    2/0671448498.49303  2021 APR 11 23:19:22   153.38    12.26   124.80   -23.44      183.37   243119193.7
13742  2021 APR 12 01:07:37    2/0671461482.19226  2021 APR 12 02:55:46   100.72    12.28    71.90   -23.30      182.91   243138396.1
13743  2021 APR 12 04:44:02    2/0671474466.41162  2021 APR 12 06:32:12    48.05    12.31    18.99   -23.14      183.81   243157572.9
13744  2021 APR 12 08:20:28    2/0671487453.08583  2021 APR 12 10:08:38   355.37    12.33   326.05   -22.96      184.28   243176726.2
13745  2021 APR 12 11:56:53    2/0671500438.24851  2021 APR 12 13:45:02   302.70    12.36   273.13   -22.84      183.64   243195850.8
13746  2021 APR 12 15:33:15    2/0671513420.21775  2021 APR 12 17:21:25   250.04    12.38   220.23   -22.65      184.18   243214943.8
13747  2021 APR 12 19:09:41    2/0671526406.34634  2021 APR 12 20:57:51   197.37    12.41   167.29   -22.47      184.46   243234016.2
13748  2021 APR 12 22:46:07    2/0671539391.61782  2021 APR 13 00:34:16   144.70    12.43   114.37   -22.31      183.59   243253060.7
13749  2021 APR 13 02:22:30    2/0671552374.62218  2021 APR 13 04:10:39    92.04    12.46    61.47   -22.17      183.44   243272074.7
13750  2021 APR 13 05:58:55    2/0671565359.38256  2021 APR 13 07:47:05    39.37    12.49     8.57   -22.00      184.36   243291064.2
13751  2021 APR 13 09:35:21    2/0671578345.59182  2021 APR 13 11:23:30   346.69    12.51   315.62   -21.82      184.61   243310029.3
13752  2021 APR 13 13:11:45    2/0671591330.29834  2021 APR 13 14:59:54   294.02    12.54   262.72   -21.73      183.83   243328964.8
13753  2021 APR 13 16:48:08    2/0671604312.48002  2021 APR 13 18:36:18   241.37    12.56   209.82   -21.53      184.56   243347870.1
13754  2021 APR 13 20:24:34    2/0671617298.39066  2021 APR 13 22:12:43   188.69    12.59   156.88   -21.35      184.53   243366753.6
13755  2021 APR 14 00:00:58    2/0671630282.54158  2021 APR 14 01:49:06   136.03    12.61   103.97   -21.20      183.65   243385607.8
13756  2021 APR 14 03:37:20    2/0671643265.15630  2021 APR 14 05:25:30    83.37    12.64    51.08   -21.06      183.85   243404432.3
13757  2021 APR 14 07:13:45    2/0671656249.48127  2021 APR 14 09:01:55    30.70    12.66   358.16   -20.88      184.70   243423232.7
13758  2021 APR 14 10:50:10    2/0671669235.28116  2021 APR 14 12:38:19   338.03    12.69   305.22   -20.72      184.69   243442007.8
13759  2021 APR 14 14:26:34    2/0671682218.36922  2021 APR 14 16:14:43   285.36    12.71   252.34   -20.62      184.11   243460752.1
13760  2021 APR 14 18:02:57    2/0671695201.49376  2021 APR 14 19:51:07   232.70    12.74   199.42   -20.41      184.90   243479469.4
13761  2021 APR 14 21:39:23    2/0671708187.30914  2021 APR 14 23:27:32   180.03    12.76   146.49   -20.24      184.65   243498163.2
13762  2021 APR 15 01:15:46    2/0671721171.04547  2021 APR 15 03:03:55   127.36    12.79    93.58   -20.09      183.80   243516826.8
13763  2021 APR 15 04:52:09    2/0671734153.37622  2021 APR 15 06:40:19    74.70    12.82    40.69   -19.95      184.31   243535461.6
13764  2021 APR 15 08:28:34    2/0671747138.30972  2021 APR 15 10:16:44    22.03    12.84   347.77   -19.76      185.08   243554072.6
13765  2021 APR 15 12:04:59    2/0671760123.51048  2021 APR 15 13:53:07   329.36    12.87   294.84   -19.61      184.88   243572657.0
